Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0018,16,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0166,160,Individual,1,1,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0167,161,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0168,162,Individual,0,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0169,163,AIStartup,1,0,1,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0170,164,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0171,165,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0172,166,Other,1,0,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0173,167,Other,1,1,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0174,168,AIStartup,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0175,169,EnterpriseSoftwareOrSecurityVendor,1,1,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0019,17,Individual,0,0,1,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0176,170,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0177,171,EnterpriseSoftwareOrSecurityVendor,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0178,172,Other,1,1,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0179,173,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0180,174,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0181,175,LargeTechCompany,1,0,1,1,0,0,0,0,0,1,0,0
NIST-2025-0035-0182,176,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0183,177,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0184,178,Individual,0,0,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0185,179,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0020,18,Individual,0,0,0,0,0,0,0,0,0,0,0,0
